asset_code,updated_at,update_type,component_name,old_value,new_value,detail,made_by,model,source_sn
AL25070877,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070878,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070879,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070880,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070881,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070882,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070883,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070884,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070885,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
AL25070886,"2025-07-25 08:32:35",hardware,"IC boost",,SDB628,"เปลี่ยน IC boost : SDB628",Admin,bitScan,"AL25070877 - AL25070886"
BS25070476,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070477,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070478,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070479,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070480,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070481,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070482,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070483,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070484,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
BS25070485,"2025-07-03 15:19:18",hardware,image,,,"เปลี่ยน image",Admin,"bitVisitor S","BS25070476 - BS25070485"
AL25060817,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060818,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060819,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060820,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060821,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060822,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060823,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060824,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060825,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060826,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060827,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060828,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060829,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060830,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060831,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060832,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060833,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060834,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060835,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
AL25060836,"2025-06-09 13:28:01",firmware,,,6.5,"FW 6.5",Admin,bitScan,"AL25060817 - AL25060836"
BP25051745,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051746,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051747,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051748,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051749,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051750,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051751,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051752,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051753,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BP25051754,"2025-05-31 17:45:25",hardware,,,,"ติดกาว UV ตรงแพรทัชสกรีน แทนการพ่นเคลือบ",Admin,"bitVisitor Plus","BP25051745 - BP25051754"
BS25050446,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050447,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050448,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050449,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050450,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050451,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050452,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
BS25050453,"2025-05-27 11:16:39",firmware,,,3.7,"EXP. v3.7",Admin,"bitVisitor S","BS25050446 - BS25050455"
