asset_code,model_in_csv,source_sn,sample_detail,import_rows
AL25050797,,"AL25050797 - AL25050816","FW 6.5",1
AL25050798,,"AL25050797 - AL25050816","FW 6.5",1
AL25050799,,"AL25050797 - AL25050816","FW 6.5",1
AL25050800,,"AL25050797 - AL25050816","FW 6.5",1
AL25050801,,"AL25050797 - AL25050816","FW 6.5",1
AL25050802,,"AL25050797 - AL25050816","FW 6.5",1
AL25050803,,"AL25050797 - AL25050816","FW 6.5",1
AL25050804,,"AL25050797 - AL25050816","FW 6.5",1
AL25050805,,"AL25050797 - AL25050816","FW 6.5",1
AL25050806,,"AL25050797 - AL25050816","FW 6.5",1
AL25050807,,"AL25050797 - AL25050816","FW 6.5",1
AL25050808,,"AL25050797 - AL25050816","FW 6.5",1
AL25050809,,"AL25050797 - AL25050816","FW 6.5",1
AL25050810,,"AL25050797 - AL25050816","FW 6.5",1
AL25050811,,"AL25050797 - AL25050816","FW 6.5",1
AL25050812,,"AL25050797 - AL25050816","FW 6.5",1
AL25050813,,"AL25050797 - AL25050816","FW 6.5",1
AL25050814,,"AL25050797 - AL25050816","FW 6.5",1
AL25050815,,"AL25050797 - AL25050816","FW 6.5",1
AL25050816,,"AL25050797 - AL25050816","FW 6.5",1
AL24090597,,"AL24090597 - AL24090606","FW 5.35",1
AL24090598,,"AL24090597 - AL24090606","FW 5.35",1
AL24090599,,"AL24090597 - AL24090606","FW 5.35",1
AL24090600,,"AL24090597 - AL24090606","FW 5.35",1
AL24090601,,"AL24090597 - AL24090606","FW 5.35",1
AL24090602,,"AL24090597 - AL24090606","FW 5.35",1
AL24090603,,"AL24090597 - AL24090606","FW 5.35",1
AL24090604,,"AL24090597 - AL24090606","FW 5.35",1
AL24090605,,"AL24090597 - AL24090606","FW 5.35",1
AL24090606,,"AL24090597 - AL24090606","FW 5.35",1
BM24091271,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091272,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091273,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091274,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091275,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091276,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091277,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091278,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091279,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BM24091280,,"BM24091271 - BM24091280","ยังมีใช้ SW สีเทาปนอยู่",1
BP24081565,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081566,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081567,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081568,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081569,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081570,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081571,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081572,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081573,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
BP24081574,,"BP24081565 - BP24081574","ใช้ SW om/off ใหม่ สีฟ้า",1
AL24070537,,"AL24070535 - AL24070542","FW 5.35",1
AL24070538,,"AL24070535 - AL24070542","FW 5.35",1
AL24070539,,"AL24070535 - AL24070542","FW 5.35",1
AL24070540,,"AL24070535 - AL24070542","FW 5.35",1
AL24070541,,"AL24070535 - AL24070542","FW 5.35",1
AL24070542,,"AL24070535 - AL24070542","FW 5.35",1
D36502,,-,"D36502 - D36521",1
D36503,,-,"D36502 - D36521",1
D36504,,-,"D36502 - D36521",1
D36505,,-,"D36502 - D36521",1
D36506,,-,"D36502 - D36521",1
D36507,,-,"D36502 - D36521",1
D36508,,-,"D36502 - D36521",1
D36509,,-,"D36502 - D36521",1
D36510,,-,"D36502 - D36521",1
D36511,,-,"D36502 - D36521",1
D36512,,-,"D36502 - D36521",1
D36513,,-,"D36502 - D36521",1
D36514,,-,"D36502 - D36521",1
D36515,,-,"D36502 - D36521",1
D36516,,-,"D36502 - D36521",1
D36517,,-,"D36502 - D36521",1
D36518,,-,"D36502 - D36521",1
D36519,,-,"D36502 - D36521",1
D36520,,-,"D36502 - D36521",1
