kind,asset_code,updated_at,detail,reason
missing_asset,AL25050797,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050798,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050799,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050800,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050801,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050802,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050803,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050804,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050805,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050806,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050807,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050808,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050809,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050810,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050811,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050812,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050813,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050814,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050815,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL25050816,"2025-05-17 15:18:43","FW 6.5",ไม่พบเครื่องในระบบ
missing_asset,AL24090597,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090598,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090599,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090600,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090601,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090602,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090603,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090604,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090605,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24090606,"2024-09-30 18:15:31","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,BM24091271,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091272,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091273,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091274,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091275,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091276,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091277,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091278,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091279,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BM24091280,"2024-09-09 15:03:28","ยังมีใช้ SW สีเทาปนอยู่",ไม่พบเครื่องในระบบ
missing_asset,BP24081565,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081566,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081567,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081568,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081569,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081570,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081571,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081572,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081573,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,BP24081574,"2024-08-01 08:35:55","ใช้ SW om/off ใหม่ สีฟ้า",ไม่พบเครื่องในระบบ
missing_asset,AL24070537,"2024-07-31 14:43:53","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24070538,"2024-07-31 14:43:53","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24070539,"2024-07-31 14:43:53","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24070540,"2024-07-31 14:43:53","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24070541,"2024-07-31 14:43:53","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,AL24070542,"2024-07-31 14:43:53","FW 5.35",ไม่พบเครื่องในระบบ
missing_asset,D36502,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36503,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36504,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36505,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36506,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36507,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36508,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36509,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36510,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36511,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36512,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36513,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36514,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36515,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36516,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
missing_asset,D36517,"2024-06-20 10:08:05","D36502 - D36521",ไม่พบเครื่องในระบบ
